,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,percentage_demographic_in_boston_census_group_id,percentage_demographic_in_boston_census_group_%white,percentage_demographic_in_boston_census_group_%black,percentage_demographic_in_boston_census_group_Estimate!!Total,percentage_demographic_in_boston_census_group_Estimate!!Total!!White alone,percentage_demographic_in_boston_census_group_Estimate!!Total!!Black or African American alone,stopped_in_census,stopped_black_in_census,stopped_white_in_census,crime_in_census,%black_in_census,%white_in_census,%stopped_in_census,%black_stopped_in_census,%white_stopped_in_census,%crime_in_census
137,25,25,170300,7,1500000US250251703007,250251703007,7,BG,128418,0,1500000US250251703007,1.0,0.0,605.0,605.0,0.0,0,0,0,0,,0.0,0.0,,0.0,0.0
147,25,25,70700,1,1500000US250250707001,250250707001,1,BG,87661,0,1500000US250250707001,0.589968152866242,0.251592356687898,1256.0,741.0,316.0,1,1,0,112,0.0031645569620253164,0.0,0.0007961783439490446,0.0031645569620253164,0.0,0.08917197452229299
152,25,25,130100,3,1500000US250251301003,250251301003,3,BG,773848,0,1500000US250251301003,0.850178359096314,0.149821640903686,841.0,715.0,126.0,0,0,0,18,0.0,0.0,0.0,0.0,0.0,0.02140309155766944
155,25,25,170300,5,1500000US250251703005,250251703005,5,BG,353510,0,1500000US250251703005,0.9190421892816422,0.0,1754.0,1612.0,0.0,0,0,0,0,,0.0,0.0,,0.0,0.0
157,25,25,160501,5,1500000US250251605015,250251605015,5,BG,44363,0,1500000US250251605015,0.7121951219512191,0.0975609756097561,615.0,438.0,60.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
158,25,25,71101,3,1500000US250250711013,250250711013,3,BG,56581,0,1500000US250250711013,0.371513944223108,0.344621513944223,1004.0,373.0,346.0,1,1,0,268,0.002890173410404624,0.0,0.00099601593625498,0.002890173410404624,0.0,0.26693227091633465
159,25,25,60400,1,1500000US250250604001,250250604001,1,BG,82503,0,1500000US250250604001,1.0,0.0,1358.0,1358.0,0.0,0,0,0,31,,0.0,0.0,,0.0,0.022827687776141383
163,25,25,50600,2,1500000US250250506002,250250506002,2,BG,82932,0,1500000US250250506002,0.549703264094956,0.11721068249258197,1348.0,741.0,158.0,0,0,0,413,0.0,0.0,0.0,0.0,0.0,0.306379821958457
176,25,25,10403,3,1500000US250250104033,250250104033,3,BG,26269,0,1500000US250250104033,0.742796157950907,0.032017075773746004,937.0,696.0,30.0,0,0,0,38,0.0,0.0,0.0,0.0,0.0,0.04055496264674493
177,25,25,401,4,1500000US250250004014,250250004014,4,BG,152593,0,1500000US250250004014,0.5932802829354549,0.0260831122900088,2262.0,1342.0,59.0,0,0,0,73,0.0,0.0,0.0,0.0,0.0,0.03227232537577365
