ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
1,"Black or African American Alone",1,"Hispanic or Latino",2016,"2016",4291,"Boston, MA","16000US2507000","boston-ma",21326,0.03169549967302776
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2016,"2016",1735.0000000000002,"Boston, MA","16000US2507000","boston-ma",3600,0.005350454788657036
1,"Black or African American Alone",0,"Not Hispanic or Latino",2016,"2016",3279,"Boston, MA","16000US2507000","boston-ma",151986,0.2258872837524523
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2016,"2016",203,"Boston, MA","16000US2507000","boston-ma",0,0
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2015,"2015",351,"Boston, MA","16000US2507000","boston-ma",691,0.0010321613099336937
3,"Asian Alone",0,"Not Hispanic or Latino",2015,"2015",2035.9999999999998,"Boston, MA","16000US2507000","boston-ma",63260,0.09449279951722933
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2015,"2015",2847,"Boston, MA","16000US2507000","boston-ma",7406,0.011062498786351571
1,"Black or African American Alone",1,"Hispanic or Latino",2015,"2015",4435,"Boston, MA","16000US2507000","boston-ma",16351,0.024423834412048952
1,"Black or African American Alone",0,"Not Hispanic or Latino",2015,"2015",3689,"Boston, MA","16000US2507000","boston-ma",153039,0.2285975900303076
5,"Some Other Race Alone",1,"Hispanic or Latino",2015,"2015",4646,"Boston, MA","16000US2507000","boston-ma",44662,0.0667125736964669
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2015,"2015",79,"Boston, MA","16000US2507000","boston-ma",47,0.00007020489372920927
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2015,"2015",115,"Boston, MA","16000US2507000","boston-ma",106,0.00015833444117651453
0,"White Alone",1,"Hispanic or Latino",2015,"2015",5066,"Boston, MA","16000US2507000","boston-ma",53662,0.08015606398503888
6,"Two or More Races",0,"Not Hispanic or Latino",2015,"2015",2458.588416144516,"Boston, MA","16000US2507000","boston-ma",15365,0.02295102536487873
3,"Asian Alone",1,"Hispanic or Latino",2015,"2015",219.99999999999997,"Boston, MA","16000US2507000","boston-ma",343,0.0005123463521089102
0,"White Alone",0,"Not Hispanic or Latino",2015,"2015",4524,"Boston, MA","16000US2507000","boston-ma",299005,0.4466300904149408
6,"Two or More Races",1,"Hispanic or Latino",2015,"2015",3502.6746922887373,"Boston, MA","16000US2507000","boston-ma",14941,0.022317687600172675
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2015,"2015",450,"Boston, MA","16000US2507000","boston-ma",591,0.0008827891956162271
5,"Some Other Race Alone",1,"Hispanic or Latino",2014,"2014",5065,"Boston, MA","16000US2507000","boston-ma",40764,0.06213541325293308
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2014,"2014",673,"Boston, MA","16000US2507000","boston-ma",1155,0.001760533860934592
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2014,"2014",108,"Boston, MA","16000US2507000","boston-ma",59,0.00008993203272306573
3,"Asian Alone",1,"Hispanic or Latino",2014,"2014",338,"Boston, MA","16000US2507000","boston-ma",606,0.00092370867508776
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2014,"2014",822,"Boston, MA","16000US2507000","boston-ma",1182,0.0018016891979434526
6,"Two or More Races",0,"Not Hispanic or Latino",2014,"2014",2881.605108268654,"Boston, MA","16000US2507000","boston-ma",14594,0.022245221789159685
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2014,"2014",2407,"Boston, MA","16000US2507000","boston-ma",8726,0.013300795212567315
0,"White Alone",0,"Not Hispanic or Latino",2014,"2014",4257,"Boston, MA","16000US2507000","boston-ma",299245,0.4561306971561662
0,"White Alone",1,"Hispanic or Latino",2014,"2014",5141,"Boston, MA","16000US2507000","boston-ma",48417,0.07380066488733346
3,"Asian Alone",0,"Not Hispanic or Latino",2014,"2014",1566,"Boston, MA","16000US2507000","boston-ma",63428,0.09668150799251887
6,"Two or More Races",1,"Hispanic or Latino",2014,"2014",3859.571090160148,"Boston, MA","16000US2507000","boston-ma",16923,0.025795250674109177
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2014,"2014",198,"Boston, MA","16000US2507000","boston-ma",0,0
1,"Black or African American Alone",0,"Not Hispanic or Latino",2014,"2014",4003,"Boston, MA","16000US2507000","boston-ma",146502,0.22330885861007757
